Ticker,Asset_Name,Asset_Class,Shares,Purchase_Date,Purchase_Price,Current_Price,Cost_Basis,Current_Value,Unrealized_Gain,Unrealized_Gain_Pct,Days_Held,Weight_Pct,Gain_Loss_Label,Performance_Category,Risk_Category
AAPL,Apple Inc,Equity,150,15/01/2025,185.5,258.2099914550781,27825.0,38731.49871826172,10906.49871826172,39.1967608922254,365,7.36089360574867,Gain,Good Gain,Medium
MSFT,Microsoft Corp,Equity,120,15/01/2025,375.2,456.6600036621094,45024.0,54799.200439453125,9775.200439453123,21.711088396084588,365,10.414548815915627,Gain,Moderate Gain,Large
GOOGL,Alphabet Inc,Equity,80,01/02/2025,142.3,332.7799987792969,11384.0,26622.39990234375,15238.39990234375,133.8580455230477,378,5.05956804399231,Gain,Excellent Gain,Medium
AMZN,Amazon.com Inc,Equity,100,01/02/2025,178.9,238.17999267578125,17890.0,23817.999267578125,5927.999267578125,33.13582597863681,378,4.526593710864561,Gain,Good Gain,Medium
NVDA,NVIDIA Corp,Equity,90,01/03/2025,720.4,187.0500030517578,64836.0,16834.500274658203,-48001.4997253418,-74.0352577662746,377,3.1993847263462465,Loss,Large Loss,Small
JPM,JPMorgan Chase,Equity,200,15/01/2025,168.5,309.260009765625,33700.0,61852.001953125,28152.001953125,83.53709778375371,365,11.754928694893152,Gain,Excellent Gain,Very Large
JNJ,Johnson & Johnson,Equity,180,20/01/2025,157.8,219.57000732421875,28404.000000000004,39522.601318359375,11118.601318359371,39.14449133347194,360,7.511242088592282,Gain,Good Gain,Medium
V,Visa Inc,Equity,110,10/02/2025,272.3,327.75,29953.0,36052.5,6099.5,20.363569592361365,105,6.851751817084454,Gain,Moderate Gain,Medium
PG,Procter & Gamble,Equity,140,15/02/2025,158.9,144.6300048828125,22246.0,20248.20068359375,-1997.79931640625,-8.980487801880113,334,3.8481560453922516,Loss,Small Loss,Medium
KO,Coca-Cola,Equity,250,01/03/2025,60.2,70.4800033569336,15050.0,17620.0008392334,2570.0008392333984,17.07641753643454,377,3.3486685463489914,Gain,Moderate Gain,Small
SPY,SPDR S&P 500 ETF,ETF,100,15/01/2025,475.3,692.239990234375,47530.0,69223.9990234375,21693.9990234375,45.64274989151589,365,13.155971460916449,Gain,Good Gain,Very Large
QQQ,Invesco QQQ Trust,ETF,80,20/01/2025,395.8,621.780029296875,31664.0,49742.40234375,18078.40234375,57.09449956970061,360,9.453507957698774,Gain,Excellent Gain,Large
AGG,iShares Core US Aggregate Bond ETF,ETF,300,15/01/2025,98.5,100.22000122070312,29550.0,30066.000366210938,516.0003662109375,1.746194132693528,365,5.714021847074339,Gain,Small Gain,Medium
VTI,Vanguard Total Stock Market ETF,ETF,120,01/02/2025,235.6,342.04998779296875,28272.0,41045.99853515625,12773.99853515625,45.18250755219387,378,7.800762639131895,Gain,Good Gain,Large
